date_key,year,quarter,month_number,month_name,year_month,day_of_month,day_name,is_weekend
2025-09-01,2025,Q3,9,September,2025-09,1,Monday,False
2025-09-02,2025,Q3,9,September,2025-09,2,Tuesday,False
2025-09-03,2025,Q3,9,September,2025-09,3,Wednesday,False
2025-09-04,2025,Q3,9,September,2025-09,4,Thursday,False
2025-09-05,2025,Q3,9,September,2025-09,5,Friday,False
2025-09-06,2025,Q3,9,September,2025-09,6,Saturday,True
2025-09-07,2025,Q3,9,September,2025-09,7,Sunday,True
2025-09-08,2025,Q3,9,September,2025-09,8,Monday,False
2025-09-09,2025,Q3,9,September,2025-09,9,Tuesday,False
2025-09-10,2025,Q3,9,September,2025-09,10,Wednesday,False
2025-09-11,2025,Q3,9,September,2025-09,11,Thursday,False
2025-09-12,2025,Q3,9,September,2025-09,12,Friday,False
2025-09-13,2025,Q3,9,September,2025-09,13,Saturday,True
2025-09-14,2025,Q3,9,September,2025-09,14,Sunday,True
2025-09-15,2025,Q3,9,September,2025-09,15,Monday,False
2025-09-16,2025,Q3,9,September,2025-09,16,Tuesday,False
2025-09-17,2025,Q3,9,September,2025-09,17,Wednesday,False
2025-09-18,2025,Q3,9,September,2025-09,18,Thursday,False
2025-09-19,2025,Q3,9,September,2025-09,19,Friday,False
2025-09-20,2025,Q3,9,September,2025-09,20,Saturday,True
2025-09-21,2025,Q3,9,September,2025-09,21,Sunday,True
2025-09-22,2025,Q3,9,September,2025-09,22,Monday,False
2025-09-23,2025,Q3,9,September,2025-09,23,Tuesday,False
2025-09-24,2025,Q3,9,September,2025-09,24,Wednesday,False
2025-09-25,2025,Q3,9,September,2025-09,25,Thursday,False
2025-09-26,2025,Q3,9,September,2025-09,26,Friday,False
2025-09-27,2025,Q3,9,September,2025-09,27,Saturday,True
2025-09-28,2025,Q3,9,September,2025-09,28,Sunday,True
2025-09-29,2025,Q3,9,September,2025-09,29,Monday,False
2025-09-30,2025,Q3,9,September,2025-09,30,Tuesday,False
2025-10-01,2025,Q4,10,October,2025-10,1,Wednesday,False
2025-10-02,2025,Q4,10,October,2025-10,2,Thursday,False
2025-10-03,2025,Q4,10,October,2025-10,3,Friday,False
2025-10-04,2025,Q4,10,October,2025-10,4,Saturday,True
2025-10-05,2025,Q4,10,October,2025-10,5,Sunday,True
2025-10-06,2025,Q4,10,October,2025-10,6,Monday,False
2025-10-07,2025,Q4,10,October,2025-10,7,Tuesday,False
2025-10-08,2025,Q4,10,October,2025-10,8,Wednesday,False
2025-10-09,2025,Q4,10,October,2025-10,9,Thursday,False
2025-10-10,2025,Q4,10,October,2025-10,10,Friday,False
2025-10-11,2025,Q4,10,October,2025-10,11,Saturday,True
2025-10-12,2025,Q4,10,October,2025-10,12,Sunday,True
2025-10-13,2025,Q4,10,October,2025-10,13,Monday,False
2025-10-14,2025,Q4,10,October,2025-10,14,Tuesday,False
2025-10-15,2025,Q4,10,October,2025-10,15,Wednesday,False
2025-10-16,2025,Q4,10,October,2025-10,16,Thursday,False
2025-10-17,2025,Q4,10,October,2025-10,17,Friday,False
2025-10-18,2025,Q4,10,October,2025-10,18,Saturday,True
2025-10-19,2025,Q4,10,October,2025-10,19,Sunday,True
2025-10-20,2025,Q4,10,October,2025-10,20,Monday,False
2025-10-21,2025,Q4,10,October,2025-10,21,Tuesday,False
2025-10-22,2025,Q4,10,October,2025-10,22,Wednesday,False
2025-10-23,2025,Q4,10,October,2025-10,23,Thursday,False
2025-10-24,2025,Q4,10,October,2025-10,24,Friday,False
2025-10-25,2025,Q4,10,October,2025-10,25,Saturday,True
2025-10-26,2025,Q4,10,October,2025-10,26,Sunday,True
2025-10-27,2025,Q4,10,October,2025-10,27,Monday,False
2025-10-28,2025,Q4,10,October,2025-10,28,Tuesday,False
2025-10-29,2025,Q4,10,October,2025-10,29,Wednesday,False
2025-10-30,2025,Q4,10,October,2025-10,30,Thursday,False
2025-10-31,2025,Q4,10,October,2025-10,31,Friday,False
2025-11-01,2025,Q4,11,November,2025-11,1,Saturday,True
2025-11-02,2025,Q4,11,November,2025-11,2,Sunday,True
2025-11-03,2025,Q4,11,November,2025-11,3,Monday,False
2025-11-04,2025,Q4,11,November,2025-11,4,Tuesday,False
2025-11-05,2025,Q4,11,November,2025-11,5,Wednesday,False
2025-11-06,2025,Q4,11,November,2025-11,6,Thursday,False
2025-11-07,2025,Q4,11,November,2025-11,7,Friday,False
2025-11-08,2025,Q4,11,November,2025-11,8,Saturday,True
2025-11-09,2025,Q4,11,November,2025-11,9,Sunday,True
2025-11-10,2025,Q4,11,November,2025-11,10,Monday,False
2025-11-11,2025,Q4,11,November,2025-11,11,Tuesday,False
2025-11-12,2025,Q4,11,November,2025-11,12,Wednesday,False
2025-11-13,2025,Q4,11,November,2025-11,13,Thursday,False
2025-11-14,2025,Q4,11,November,2025-11,14,Friday,False
2025-11-15,2025,Q4,11,November,2025-11,15,Saturday,True
2025-11-16,2025,Q4,11,November,2025-11,16,Sunday,True
2025-11-17,2025,Q4,11,November,2025-11,17,Monday,False
2025-11-18,2025,Q4,11,November,2025-11,18,Tuesday,False
2025-11-19,2025,Q4,11,November,2025-11,19,Wednesday,False
2025-11-20,2025,Q4,11,November,2025-11,20,Thursday,False
2025-11-21,2025,Q4,11,November,2025-11,21,Friday,False
2025-11-22,2025,Q4,11,November,2025-11,22,Saturday,True
2025-11-23,2025,Q4,11,November,2025-11,23,Sunday,True
2025-11-24,2025,Q4,11,November,2025-11,24,Monday,False
2025-11-25,2025,Q4,11,November,2025-11,25,Tuesday,False
2025-11-26,2025,Q4,11,November,2025-11,26,Wednesday,False
2025-11-27,2025,Q4,11,November,2025-11,27,Thursday,False
2025-11-28,2025,Q4,11,November,2025-11,28,Friday,False
2025-11-29,2025,Q4,11,November,2025-11,29,Saturday,True
2025-11-30,2025,Q4,11,November,2025-11,30,Sunday,True
2025-12-01,2025,Q4,12,December,2025-12,1,Monday,False
2025-12-02,2025,Q4,12,December,2025-12,2,Tuesday,False
2025-12-03,2025,Q4,12,December,2025-12,3,Wednesday,False
2025-12-04,2025,Q4,12,December,2025-12,4,Thursday,False
2025-12-05,2025,Q4,12,December,2025-12,5,Friday,False
2025-12-06,2025,Q4,12,December,2025-12,6,Saturday,True
2025-12-07,2025,Q4,12,December,2025-12,7,Sunday,True
2025-12-08,2025,Q4,12,December,2025-12,8,Monday,False
2025-12-09,2025,Q4,12,December,2025-12,9,Tuesday,False
2025-12-10,2025,Q4,12,December,2025-12,10,Wednesday,False
2025-12-11,2025,Q4,12,December,2025-12,11,Thursday,False
2025-12-12,2025,Q4,12,December,2025-12,12,Friday,False
2025-12-13,2025,Q4,12,December,2025-12,13,Saturday,True
2025-12-14,2025,Q4,12,December,2025-12,14,Sunday,True
2025-12-15,2025,Q4,12,December,2025-12,15,Monday,False
2025-12-16,2025,Q4,12,December,2025-12,16,Tuesday,False
2025-12-17,2025,Q4,12,December,2025-12,17,Wednesday,False
2025-12-18,2025,Q4,12,December,2025-12,18,Thursday,False
2025-12-19,2025,Q4,12,December,2025-12,19,Friday,False
2025-12-20,2025,Q4,12,December,2025-12,20,Saturday,True
2025-12-21,2025,Q4,12,December,2025-12,21,Sunday,True
2025-12-22,2025,Q4,12,December,2025-12,22,Monday,False
2025-12-23,2025,Q4,12,December,2025-12,23,Tuesday,False
2025-12-24,2025,Q4,12,December,2025-12,24,Wednesday,False
2025-12-25,2025,Q4,12,December,2025-12,25,Thursday,False
2025-12-26,2025,Q4,12,December,2025-12,26,Friday,False
2025-12-27,2025,Q4,12,December,2025-12,27,Saturday,True
2025-12-28,2025,Q4,12,December,2025-12,28,Sunday,True
2025-12-29,2025,Q4,12,December,2025-12,29,Monday,False
2025-12-30,2025,Q4,12,December,2025-12,30,Tuesday,False
2025-12-31,2025,Q4,12,December,2025-12,31,Wednesday,False
2026-01-01,2026,Q1,1,January,2026-01,1,Thursday,False
2026-01-02,2026,Q1,1,January,2026-01,2,Friday,False
2026-01-03,2026,Q1,1,January,2026-01,3,Saturday,True
2026-01-04,2026,Q1,1,January,2026-01,4,Sunday,True
2026-01-05,2026,Q1,1,January,2026-01,5,Monday,False
2026-01-06,2026,Q1,1,January,2026-01,6,Tuesday,False
2026-01-07,2026,Q1,1,January,2026-01,7,Wednesday,False
2026-01-08,2026,Q1,1,January,2026-01,8,Thursday,False
2026-01-09,2026,Q1,1,January,2026-01,9,Friday,False
2026-01-10,2026,Q1,1,January,2026-01,10,Saturday,True
2026-01-11,2026,Q1,1,January,2026-01,11,Sunday,True
2026-01-12,2026,Q1,1,January,2026-01,12,Monday,False
2026-01-13,2026,Q1,1,January,2026-01,13,Tuesday,False
2026-01-14,2026,Q1,1,January,2026-01,14,Wednesday,False
2026-01-15,2026,Q1,1,January,2026-01,15,Thursday,False
2026-01-16,2026,Q1,1,January,2026-01,16,Friday,False
2026-01-17,2026,Q1,1,January,2026-01,17,Saturday,True
2026-01-18,2026,Q1,1,January,2026-01,18,Sunday,True
2026-01-19,2026,Q1,1,January,2026-01,19,Monday,False
2026-01-20,2026,Q1,1,January,2026-01,20,Tuesday,False
2026-01-21,2026,Q1,1,January,2026-01,21,Wednesday,False
2026-01-22,2026,Q1,1,January,2026-01,22,Thursday,False
2026-01-23,2026,Q1,1,January,2026-01,23,Friday,False
2026-01-24,2026,Q1,1,January,2026-01,24,Saturday,True
