expense_id,expense_date,category_id,paid_by_person_id,merchant,description,amount_dkk,split_type,participant_count
1,2025-09-01,1,3,Boligforening Vejle,Rent - Boligforening Vejle,8400.00,EQUAL,4
2,2025-09-01,2,1,Ørsted,Utilities - Ørsted,673.55,EQUAL,4
3,2025-09-01,3,3,Fibia,Internet - Fibia,340.21,EQUAL,4
4,2025-09-01,4,2,Føtex,Groceries - Føtex,653.18,EQUAL,4
5,2025-09-01,7,1,GoMore,Transport - GoMore,445.48,EQUAL,4
6,2025-09-02,6,4,Jensens,Dining Out - Jensens,675.43,CUSTOM,3
7,2025-09-03,4,1,Bilka,Groceries - Bilka,608.35,EQUAL,4
8,2025-09-03,5,2,IKEA,Household Supplies - IKEA,171.38,EQUAL,4
9,2025-09-03,7,1,GoMore,Transport - GoMore,469.70,EQUAL,4
10,2025-09-05,4,3,Føtex,Groceries - Føtex,342.24,EQUAL,4
11,2025-09-05,7,2,GoMore,Transport - GoMore,164.68,EQUAL,4
12,2025-09-07,5,3,Matas,Household Supplies - Matas,170.56,EQUAL,4
13,2025-09-08,8,2,jem & fix,Repairs - jem & fix,479.37,EQUAL,4
14,2025-09-09,6,4,Cafe Vivaldi,Dining Out - Cafe Vivaldi,361.06,CUSTOM,3
15,2025-09-12,6,3,Cafe Vivaldi,Dining Out - Cafe Vivaldi,459.08,EQUAL,4
16,2025-09-13,4,3,Føtex,Groceries - Føtex,767.80,EQUAL,4
17,2025-09-14,4,2,Netto,Groceries - Netto,134.76,EQUAL,4
18,2025-09-15,4,1,Lidl,Groceries - Lidl,124.91,EQUAL,4
19,2025-09-17,7,2,DSB,Transport - DSB,177.73,EQUAL,4
20,2025-09-19,4,2,Rema 1000,Groceries - Rema 1000,334.49,EQUAL,4
21,2025-09-20,4,1,Føtex,Groceries - Føtex,493.76,EQUAL,4
22,2025-09-20,5,4,Matas,Household Supplies - Matas,211.32,EQUAL,4
23,2025-09-23,4,3,Lidl,Groceries - Lidl,604.20,EQUAL,4
24,2025-09-25,4,4,Lidl,Groceries - Lidl,207.97,EQUAL,4
25,2025-09-26,5,2,IKEA,Household Supplies - IKEA,60.61,EQUAL,4
26,2025-09-27,4,4,Bilka,Groceries - Bilka,635.75,EQUAL,4
27,2025-09-27,7,1,GoMore,Transport - GoMore,133.06,EQUAL,4
28,2025-09-29,4,2,Netto,Groceries - Netto,613.89,EQUAL,4
29,2025-09-29,8,1,jem & fix,Repairs - jem & fix,1768.70,EQUAL,4
30,2025-09-30,4,2,Bilka,Groceries - Bilka,160.51,EQUAL,4
31,2025-09-30,6,3,Kebabhouse,Dining Out - Kebabhouse,130.89,EQUAL,4
32,2025-10-01,1,1,Boligforening Vejle,Rent - Boligforening Vejle,8400.00,EQUAL,4
33,2025-10-01,2,3,Ørsted,Utilities - Ørsted,1080.02,EQUAL,4
34,2025-10-01,3,3,Hiper,Internet - Hiper,315.88,EQUAL,4
35,2025-10-02,4,4,Lidl,Groceries - Lidl,540.38,EQUAL,4
36,2025-10-04,4,2,Rema 1000,Groceries - Rema 1000,223.89,EQUAL,4
37,2025-10-05,4,1,Netto,Groceries - Netto,324.03,EQUAL,4
38,2025-10-06,5,3,Silvan,Household Supplies - Silvan,223.31,EQUAL,4
39,2025-10-06,7,4,DSB,Transport - DSB,342.00,EQUAL,4
40,2025-10-08,4,4,Netto,Groceries - Netto,267.62,EQUAL,4
41,2025-10-12,4,4,Føtex,Groceries - Føtex,150.77,EQUAL,4
42,2025-10-13,4,4,Netto,Groceries - Netto,415.48,EQUAL,4
43,2025-10-14,4,2,Netto,Groceries - Netto,287.38,EQUAL,4
44,2025-10-17,5,1,Silvan,Household Supplies - Silvan,185.02,EQUAL,4
45,2025-10-18,4,3,Føtex,Groceries - Føtex,148.84,EQUAL,4
46,2025-10-18,5,4,Silvan,Household Supplies - Silvan,207.11,EQUAL,4
47,2025-10-25,4,3,Lidl,Groceries - Lidl,650.01,EQUAL,4
48,2025-10-25,6,2,Cafe Vivaldi,Dining Out - Cafe Vivaldi,644.20,EQUAL,4
49,2025-10-25,7,4,Circle K,Transport - Circle K,106.43,EQUAL,4
50,2025-10-29,4,4,Netto,Groceries - Netto,173.65,EQUAL,4
51,2025-10-29,6,4,Sunset Boulevard,Dining Out - Sunset Boulevard,669.64,EQUAL,4
52,2025-10-30,8,3,Elektriker Vejle,Repairs - Elektriker Vejle,1700.00,EQUAL,4
