share_id,expense_id,person_id,expense_date,category_id,share_amount_dkk,is_payer
1,1,1,2025-09-01,1,2100.00,False
2,1,2,2025-09-01,1,2100.00,False
3,1,3,2025-09-01,1,2100.00,True
4,1,4,2025-09-01,1,2100.00,False
5,2,1,2025-09-01,2,168.38,True
6,2,2,2025-09-01,2,168.39,False
7,2,3,2025-09-01,2,168.39,False
8,2,4,2025-09-01,2,168.39,False
9,3,1,2025-09-01,3,85.06,False
10,3,2,2025-09-01,3,85.05,False
11,3,3,2025-09-01,3,85.05,True
12,3,4,2025-09-01,3,85.05,False
13,4,1,2025-09-01,4,163.28,False
14,4,2,2025-09-01,4,163.30,True
15,4,3,2025-09-01,4,163.30,False
16,4,4,2025-09-01,4,163.30,False
17,5,1,2025-09-01,7,111.37,True
18,5,2,2025-09-01,7,111.37,False
19,5,3,2025-09-01,7,111.37,False
20,5,4,2025-09-01,7,111.37,False
21,6,2,2025-09-02,6,225.15,False
22,6,3,2025-09-02,6,225.14,False
23,6,1,2025-09-02,6,225.14,False
24,7,1,2025-09-03,4,152.08,True
25,7,2,2025-09-03,4,152.09,False
26,7,3,2025-09-03,4,152.09,False
27,7,4,2025-09-03,4,152.09,False
28,8,1,2025-09-03,5,42.83,False
29,8,2,2025-09-03,5,42.85,True
30,8,3,2025-09-03,5,42.85,False
31,8,4,2025-09-03,5,42.85,False
32,9,1,2025-09-03,7,117.41,True
33,9,2,2025-09-03,7,117.43,False
34,9,3,2025-09-03,7,117.43,False
35,9,4,2025-09-03,7,117.43,False
36,10,1,2025-09-05,4,85.56,False
37,10,2,2025-09-05,4,85.56,False
38,10,3,2025-09-05,4,85.56,True
39,10,4,2025-09-05,4,85.56,False
40,11,1,2025-09-05,7,41.17,False
41,11,2,2025-09-05,7,41.17,True
42,11,3,2025-09-05,7,41.17,False
43,11,4,2025-09-05,7,41.17,False
44,12,1,2025-09-07,5,42.64,False
45,12,2,2025-09-07,5,42.64,False
46,12,3,2025-09-07,5,42.64,True
47,12,4,2025-09-07,5,42.64,False
48,13,1,2025-09-08,8,119.85,False
49,13,2,2025-09-08,8,119.84,True
50,13,3,2025-09-08,8,119.84,False
51,13,4,2025-09-08,8,119.84,False
52,14,1,2025-09-09,6,120.36,False
53,14,3,2025-09-09,6,120.35,False
54,14,4,2025-09-09,6,120.35,True
55,15,1,2025-09-12,6,114.77,False
56,15,2,2025-09-12,6,114.77,False
57,15,3,2025-09-12,6,114.77,True
58,15,4,2025-09-12,6,114.77,False
59,16,1,2025-09-13,4,191.95,False
60,16,2,2025-09-13,4,191.95,False
61,16,3,2025-09-13,4,191.95,True
62,16,4,2025-09-13,4,191.95,False
63,17,1,2025-09-14,4,33.69,False
64,17,2,2025-09-14,4,33.69,True
65,17,3,2025-09-14,4,33.69,False
66,17,4,2025-09-14,4,33.69,False
67,18,1,2025-09-15,4,31.22,True
68,18,2,2025-09-15,4,31.23,False
69,18,3,2025-09-15,4,31.23,False
70,18,4,2025-09-15,4,31.23,False
71,19,1,2025-09-17,7,44.44,False
72,19,2,2025-09-17,7,44.43,True
73,19,3,2025-09-17,7,44.43,False
74,19,4,2025-09-17,7,44.43,False
75,20,1,2025-09-19,4,83.63,False
76,20,2,2025-09-19,4,83.62,True
77,20,3,2025-09-19,4,83.62,False
78,20,4,2025-09-19,4,83.62,False
79,21,1,2025-09-20,4,123.44,True
80,21,2,2025-09-20,4,123.44,False
81,21,3,2025-09-20,4,123.44,False
82,21,4,2025-09-20,4,123.44,False
83,22,1,2025-09-20,5,52.83,False
84,22,2,2025-09-20,5,52.83,False
85,22,3,2025-09-20,5,52.83,False
86,22,4,2025-09-20,5,52.83,True
87,23,1,2025-09-23,4,151.05,False
88,23,2,2025-09-23,4,151.05,False
89,23,3,2025-09-23,4,151.05,True
90,23,4,2025-09-23,4,151.05,False
91,24,1,2025-09-25,4,52.00,False
92,24,2,2025-09-25,4,51.99,False
93,24,3,2025-09-25,4,51.99,False
94,24,4,2025-09-25,4,51.99,True
95,25,1,2025-09-26,5,15.16,False
96,25,2,2025-09-26,5,15.15,True
97,25,3,2025-09-26,5,15.15,False
98,25,4,2025-09-26,5,15.15,False
99,26,1,2025-09-27,4,158.93,False
100,26,2,2025-09-27,4,158.94,False
101,26,3,2025-09-27,4,158.94,False
102,26,4,2025-09-27,4,158.94,True
103,27,1,2025-09-27,7,33.25,True
104,27,2,2025-09-27,7,33.27,False
105,27,3,2025-09-27,7,33.27,False
106,27,4,2025-09-27,7,33.27,False
107,28,1,2025-09-29,4,153.48,False
108,28,2,2025-09-29,4,153.47,True
109,28,3,2025-09-29,4,153.47,False
110,28,4,2025-09-29,4,153.47,False
111,29,1,2025-09-29,8,442.16,True
112,29,2,2025-09-29,8,442.18,False
113,29,3,2025-09-29,8,442.18,False
114,29,4,2025-09-29,8,442.18,False
115,30,1,2025-09-30,4,40.12,False
116,30,2,2025-09-30,4,40.13,True
117,30,3,2025-09-30,4,40.13,False
118,30,4,2025-09-30,4,40.13,False
119,31,1,2025-09-30,6,32.73,False
120,31,2,2025-09-30,6,32.72,False
121,31,3,2025-09-30,6,32.72,True
122,31,4,2025-09-30,6,32.72,False
123,32,1,2025-10-01,1,2100.00,True
124,32,2,2025-10-01,1,2100.00,False
125,32,3,2025-10-01,1,2100.00,False
126,32,4,2025-10-01,1,2100.00,False
127,33,1,2025-10-01,2,269.99,False
128,33,2,2025-10-01,2,270.01,False
129,33,3,2025-10-01,2,270.01,True
130,33,4,2025-10-01,2,270.01,False
131,34,1,2025-10-01,3,78.97,False
132,34,2,2025-10-01,3,78.97,False
133,34,3,2025-10-01,3,78.97,True
134,34,4,2025-10-01,3,78.97,False
135,35,1,2025-10-02,4,135.08,False
136,35,2,2025-10-02,4,135.10,False
137,35,3,2025-10-02,4,135.10,False
138,35,4,2025-10-02,4,135.10,True
139,36,1,2025-10-04,4,55.98,False
140,36,2,2025-10-04,4,55.97,True
141,36,3,2025-10-04,4,55.97,False
142,36,4,2025-10-04,4,55.97,False
143,37,1,2025-10-05,4,81.00,True
144,37,2,2025-10-05,4,81.01,False
145,37,3,2025-10-05,4,81.01,False
146,37,4,2025-10-05,4,81.01,False
147,38,1,2025-10-06,5,55.82,False
148,38,2,2025-10-06,5,55.83,False
149,38,3,2025-10-06,5,55.83,True
150,38,4,2025-10-06,5,55.83,False
151,39,1,2025-10-06,7,85.50,False
152,39,2,2025-10-06,7,85.50,False
153,39,3,2025-10-06,7,85.50,False
154,39,4,2025-10-06,7,85.50,True
155,40,1,2025-10-08,4,66.89,False
156,40,2,2025-10-08,4,66.91,False
157,40,3,2025-10-08,4,66.91,False
158,40,4,2025-10-08,4,66.91,True
159,41,1,2025-10-12,4,37.70,False
160,41,2,2025-10-12,4,37.69,False
161,41,3,2025-10-12,4,37.69,False
162,41,4,2025-10-12,4,37.69,True
163,42,1,2025-10-13,4,103.87,False
164,42,2,2025-10-13,4,103.87,False
165,42,3,2025-10-13,4,103.87,False
166,42,4,2025-10-13,4,103.87,True
167,43,1,2025-10-14,4,71.83,False
168,43,2,2025-10-14,4,71.85,True
169,43,3,2025-10-14,4,71.85,False
170,43,4,2025-10-14,4,71.85,False
171,44,1,2025-10-17,5,46.24,True
172,44,2,2025-10-17,5,46.26,False
173,44,3,2025-10-17,5,46.26,False
174,44,4,2025-10-17,5,46.26,False
175,45,1,2025-10-18,4,37.21,False
176,45,2,2025-10-18,4,37.21,False
177,45,3,2025-10-18,4,37.21,True
178,45,4,2025-10-18,4,37.21,False
179,46,1,2025-10-18,5,51.77,False
180,46,2,2025-10-18,5,51.78,False
181,46,3,2025-10-18,5,51.78,False
182,46,4,2025-10-18,5,51.78,True
183,47,1,2025-10-25,4,162.51,False
184,47,2,2025-10-25,4,162.50,False
185,47,3,2025-10-25,4,162.50,True
186,47,4,2025-10-25,4,162.50,False
187,48,1,2025-10-25,6,161.05,False
188,48,2,2025-10-25,6,161.05,True
189,48,3,2025-10-25,6,161.05,False
190,48,4,2025-10-25,6,161.05,False
191,49,1,2025-10-25,7,26.60,False
192,49,2,2025-10-25,7,26.61,False
193,49,3,2025-10-25,7,26.61,False
194,49,4,2025-10-25,7,26.61,True
195,50,1,2025-10-29,4,43.42,False
196,50,2,2025-10-29,4,43.41,False
197,50,3,2025-10-29,4,43.41,False
198,50,4,2025-10-29,4,43.41,True
199,51,1,2025-10-29,6,167.41,False
200,51,2,2025-10-29,6,167.41,False
201,51,3,2025-10-29,6,167.41,False
202,51,4,2025-10-29,6,167.41,True
203,52,1,2025-10-30,8,425.00,False
204,52,2,2025-10-30,8,425.00,False
205,52,3,2025-10-30,8,425.00,True
206,52,4,2025-10-30,8,425.00,False
207,53,1,2025-11-01,1,2100.00,False
208,53,2,2025-11-01,1,2100.00,False
209,53,3,2025-11-01,1,2100.00,True
210,53,4,2025-11-01,1,2100.00,False
211,54,1,2025-11-01,2,229.50,False
212,54,2,2025-11-01,2,229.49,True
213,54,3,2025-11-01,2,229.49,False
214,54,4,2025-11-01,2,229.49,False
215,55,1,2025-11-01,3,83.01,False
216,55,2,2025-11-01,3,83.03,True
217,55,3,2025-11-01,3,83.03,False
218,55,4,2025-11-01,3,83.03,False
219,56,1,2025-11-01,4,32.55,True
220,56,2,2025-11-01,4,32.55,False
221,56,3,2025-11-01,4,32.55,False
222,56,4,2025-11-01,4,32.55,False
223,57,1,2025-11-01,6,313.94,False
224,57,4,2025-11-01,6,313.95,False
225,58,1,2025-11-05,4,121.63,False
226,58,2,2025-11-05,4,121.62,False
227,58,3,2025-11-05,4,121.62,False
228,58,4,2025-11-05,4,121.62,True
229,59,1,2025-11-05,6,80.91,False
230,59,2,2025-11-05,6,80.93,False
231,59,3,2025-11-05,6,80.93,True
232,59,4,2025-11-05,6,80.93,False
233,60,1,2025-11-09,4,133.35,False
234,60,2,2025-11-09,4,133.37,False
235,60,3,2025-11-09,4,133.37,False
236,60,4,2025-11-09,4,133.37,True
237,61,1,2025-11-10,4,97.35,False
238,61,2,2025-11-10,4,97.35,False
239,61,3,2025-11-10,4,97.35,True
240,61,4,2025-11-10,4,97.35,False
241,62,1,2025-11-11,5,44.69,False
242,62,2,2025-11-11,5,44.71,True
243,62,3,2025-11-11,5,44.71,False
244,62,4,2025-11-11,5,44.71,False
245,63,1,2025-11-12,4,42.72,False
246,63,2,2025-11-12,4,42.74,False
247,63,3,2025-11-12,4,42.74,True
248,63,4,2025-11-12,4,42.74,False
249,64,1,2025-11-14,4,132.12,False
250,64,2,2025-11-14,4,132.13,False
251,64,3,2025-11-14,4,132.13,False
252,64,4,2025-11-14,4,132.13,True
253,65,2,2025-11-14,6,286.19,False
254,65,4,2025-11-14,6,286.19,True
255,66,1,2025-11-15,4,61.89,False
256,66,2,2025-11-15,4,61.89,True
257,66,3,2025-11-15,4,61.89,False
258,66,4,2025-11-15,4,61.89,False
259,67,1,2025-11-15,5,59.78,True
260,67,2,2025-11-15,5,59.80,False
261,67,3,2025-11-15,5,59.80,False
262,67,4,2025-11-15,5,59.80,False
263,68,1,2025-11-17,4,148.75,True
264,68,2,2025-11-17,4,148.76,False
265,68,3,2025-11-17,4,148.76,False
266,68,4,2025-11-17,4,148.76,False
267,69,1,2025-11-19,4,109.06,False
268,69,2,2025-11-19,4,109.06,True
269,69,3,2025-11-19,4,109.06,False
270,69,4,2025-11-19,4,109.06,False
271,70,1,2025-11-22,4,111.09,False
272,70,2,2025-11-22,4,111.08,False
273,70,3,2025-11-22,4,111.08,False
274,70,4,2025-11-22,4,111.08,True
275,71,1,2025-11-26,5,42.38,False
276,71,2,2025-11-26,5,42.37,False
277,71,3,2025-11-26,5,42.37,True
278,71,4,2025-11-26,5,42.37,False
279,72,4,2025-11-27,6,51.78,False
